id_identificador;descripcion;direccion;fechaAlta;id_barrio;id_geometria;id_municipio;id_identificador_tipo;id_usuario;id_zona;id_area;fecha_actualizacion;codigo_unico;habilitado;metros_cuadrados;latitud;longitud
1224873;BRAZO/N - FAROLA ASY216050A 60W _ B;Maipú 1924;20/3/2024;14086;1402537;377;214;9505;24737;;;cod_00007;True;;-34,5484994;-58,5034982
1224875;BRAZO/N - FAROLA ASY216050A 60W _ B;Alvear 2386;20/3/2024;14086;1402539;377;214;9505;24737;;;cod_00009;True;;-34,5058117;-58,479398
1224883;BRAZO/N - FAROLA ASY216050A 60W _ B;Brown 1524;20/3/2024;14086;1402547;377;214;9505;24737;;;cod_00017;True;;-34,5145704;-58,518093
1224885;BRAZO/N - FAROLA ASY216050A 60W _ B;San Martín 3682;20/3/2024;14086;1402549;377;214;9505;24737;;;cod_00019;True;;-34,5360403;-58,4838789
1224887;BRAZO/N - FAROLA ASY216050A 60W _ B;Brown 3357;20/3/2024;14086;1402551;377;214;9505;24737;;;cod_00021;True;;-34,5070388;-58,4779205
1224889;BRAZO/N - FAROLA ASY216050A 60W _ B;San Lorenzo 3711;20/3/2024;14086;1402553;377;214;9505;24737;;;cod_00023;True;;-34,5230475;-58,5033086
1224899;BRAZO/N - FAROLA ASY216050A 60W _ B;Av. Siempre Viva 2715;20/3/2024;14086;1402563;377;214;9505;24737;;;cod_00033;True;;-34,5081116;-58,499585
1224909;BRAZO/N - FAROLA ASY216050A 60W _ B;Mitre 3627;20/3/2024;14086;1402573;377;214;9505;24737;;;cod_00043;True;;-34,4925672;-58,4998043
1224911;BRAZO/N - FAROLA ASY216050A 60W _ B;San Martín 6324;20/3/2024;14086;1402575;377;214;9505;24737;;;cod_00045;True;;-34,544197;-58,4691503
1224913;BRAZO/N - FAROLA ASY216050A 60W _ B;Urquiza 4433;20/3/2024;14086;1402577;377;214;9505;24737;;;cod_00047;True;;-34,5015723;-58,4762161
1224917;BRAZO/N - FAROLA ASY216050A 60W _ B;Brown 2145;20/3/2024;14086;1402581;377;214;9505;24737;;;cod_00051;True;;-34,4916131;-58,4972879
1224919;BRAZO/N - FAROLA ASY216050A 60W _ B;Brown 4903;20/3/2024;14086;1402583;377;214;9505;24737;;;cod_00053;True;;-34,5002357;-58,4828888
1224921;BRAZO/N - FAROLA ASY216050A 60W _ B;25 de Mayo 9559;20/3/2024;14086;1402585;377;214;9505;24737;;;cod_00055;True;;-34,5384627;-58,5158267
1224937;BRAZO/N - FAROLA ASY216050A 60W _ B;Libertador 3833;20/3/2024;14086;1402601;377;214;9505;24737;;;cod_00071;True;;-34,5036159;-58,4608867
1224939;BRAZO/N - FAROLA ASY216050A 60W _ B;Alvear 1754;20/3/2024;14086;1402603;377;214;9505;24737;;;cod_00073;True;;-34,5271924;-58,4927954
1224941;BRAZO/N - FAROLA ASY216050A 60W _ B;25 de Mayo 2764;20/3/2024;14086;1402605;377;214;9505;24737;;;cod_00075;True;;-34,5277891;-58,5074296
1224943;BRAZO/N - FAROLA ASY216050A 60W _ B;Las Heras 1269;20/3/2024;14086;1402607;377;214;9505;24737;;;cod_00077;True;;-34,5134521;-58,5097317
1224945;BRAZO/N - FAROLA ASY216050A 60W _ B;Alberdi 4110;20/3/2024;14086;1402609;377;214;9505;24737;;;cod_00079;True;;-34,5401959;-58,4972327
1224947;BRAZO/N - FAROLA ASY216050A 60W _ B;Maipú 9225;20/3/2024;14086;1402611;377;214;9505;24737;;;cod_00081;True;;-34,5368231;-58,500543
1224971;BRAZO/N - FAROLA ASY216050A 60W _ B;Echeverría 1016;20/3/2024;14086;1402635;377;214;9505;24737;;;cod_00105;True;;-34,5362571;-58,518074
1224973;BRAZO/N - FAROLA ASY216050A 60W _ B;9 de Julio 6672;20/3/2024;14086;1402637;377;214;9505;24737;;;cod_00107;True;;-34,5339355;-58,507341
1224986;BRAZO/N - FAROLA ASY216050A 60W _ B;Güemes 5255;20/3/2024;14086;1402650;377;214;9505;24737;;;cod_00120;True;;-34,5372424;-58,4900461
1233012;BRAZO/N - FAROLA ASY216050A 60W _ B;Maipú 7617;20/3/2024;14086;1410676;377;214;9505;24737;;;cod_08131;True;;-34,5414277;-58,5116222
1235967;BRAZO/N - FAROLA ASY216050A 60W _ B;Alberdi 9297;20/3/2024;14086;1413631;377;214;9505;24737;;;cod_11086;True;;-34,5176614;-58,4751792
1235969;BRAZO/N - FAROLA ASY216050A 60W _ B;San Lorenzo 9660;20/3/2024;14086;1413633;377;214;9505;24737;;;cod_11088;True;;-34,526036;-58,5068408
1235971;BRAZO/N - FAROLA ASY216050A 60W _ B;Mitre 8448;20/3/2024;14086;1413635;377;214;9505;24737;;;cod_11090;True;;-34,520389;-58,4746531
1235973;BRAZO/N - FAROLA ASY216050A 60W _ B;Belgrano 2604;20/3/2024;14086;1413637;377;214;9505;24737;;;cod_11092;True;;-34,5123532;-58,4724752
1235975;BRAZO/N - FAROLA ASY216050A 60W _ B;San Lorenzo 9871;20/3/2024;14086;1413639;377;214;9505;24737;;;cod_11094;True;;-34,5461883;-58,4971028
1235977;BRAZO/N - FAROLA ASY216050A 60W _ B;Moreno 8769;20/3/2024;14086;1413641;377;214;9505;24737;;;cod_11096;True;;-34,5349152;-58,4868064
1235979;BRAZO/N - FAROLA ASY216050A 60W _ B;Av. Siempre Viva 1976;20/3/2024;14086;1413643;377;214;9505;24737;;;cod_11098;True;;-34,5090974;-58,4877818
1237011;BRAZO/N - FAROLA ASY216050A 60W _ B;Las Heras 5673;20/3/2024;14086;1414675;377;214;9505;24737;;;cod_12130;True;;-34,5433069;-58,4939141
1237013;BRAZO/N - FAROLA ASY216050A 60W _ B;Moreno 153;20/3/2024;14086;1414677;377;214;9505;24737;;;cod_12132;True;;-34,492771;-58,4674488
1237015;BRAZO/N - FAROLA ASY216050A 60W _ B;Las Heras 8301;20/3/2024;14086;1414679;377;214;9505;24737;;;cod_12134;True;;-34,5042823;-58,4895391
1237017;BRAZO/N - FAROLA ASY216050A 60W _ B;Belgrano 4989;20/3/2024;14086;1414681;377;214;9505;24737;;;cod_12136;True;;-34,4994998;-58,4895402
1237019;BRAZO/N - FAROLA ASY216050A 60W _ B;Sarmiento 2604;20/3/2024;14086;1414683;377;214;9505;24737;;;cod_12138;True;;-34,5275652;-58,5103071
