id_identificador;descripcion;direccion;fechaAlta;id_barrio;id_geometria;id_municipio;id_identificador_tipo;id_usuario;id_zona;id_zona_administrativa;fecha_actualizacion;codigo_unico;habilitado;metros_cuadrados;latitud;longitud
2583991;FARMA CENTER, SCS;ESTEBAN ECHEVERRIA 4284;21/8/2025 20:18;25019;14647982;377;650;9505;25308;;;;True;;-34,5109201;-58,52601737
2584004;DUAL CENTER GROUP SA;PARANA 4106;21/8/2025 20:18;25019;14647995;377;650;9505;25308;;;;True;;-34,51082913;-58,52632891
2584006;LM VENUS S. R. L.;PARANA 4158;21/8/2025 20:18;25019;14647997;377;650;9505;25308;;;;True;;-34,51093099;-58,52654553
2584040;LOAR S.A.;ESTEBAN ECHEVERRIA 4270;21/8/2025 20:18;25019;14648031;377;650;9505;25308;;;;True;;-34,51100433;-58,52586994
2584043;SECURITAS BUENOS AIRES SA;ESTEBAN ECHEVERRIA 4270;21/8/2025 20:18;25019;14648034;377;650;9505;25308;;;;True;;-34,51100433;-58,52586994
2584046;VIGILANCIAS Y SEGURIDAD S.A.;ESTEBAN ECHEVERRIA 4270;21/8/2025 20:18;25019;14648037;377;650;9505;25308;;;;True;;-34,51100433;-58,52586994
2584049;SECURITAS SUR SA;ESTEBAN ECHEVERRIA 4270;21/8/2025 20:18;25019;14648040;377;650;9505;25308;;;;True;;-34,51100433;-58,52586994
2584053;SEGURIDAD CONO SUR S A;ESTEBAN ECHEVERRIA 4270;21/8/2025 20:18;25019;14648044;377;650;9505;25308;;;;True;;-34,51100433;-58,52586994
2584057;SEGURIDAD ARGENTINA SA;ESTEBAN ECHEVERRIA 4270;21/8/2025 20:18;25019;14648048;377;650;9505;25308;;;;True;;-34,51100433;-58,52586994
2584061;VIGILAN S.A.;ESTEBAN ECHEVERRIA 4270;21/8/2025 20:18;25019;14648052;377;650;9505;25308;;;;True;;-34,51100433;-58,52586994
2584064;SECURITAS ARGENTINA SA;ESTEBAN ECHEVERRIA 4270;21/8/2025 20:18;25019;14648055;377;650;9505;25308;;;;True;;-34,51100433;-58,52586994
2584067;SECURITAS COUNTRIES S.A;ESTEBAN ECHEVERRIA 4270;21/8/2025 20:18;25019;14648058;377;650;9505;25308;;;;True;;-34,51100433;-58,52586994
2584070;FEDERAL RESGUARD SA;ESTEBAN ECHEVERRIA 4270;21/8/2025 20:18;25019;14648061;377;650;9505;25308;;;;True;;-34,51100433;-58,52586994
2584079;SECURITAS BS AS 1;ESTEBAN ECHEVERRIA 4270;21/8/2025 20:18;25019;14648070;377;650;9505;25308;;;;True;;-34,51100433;-58,52586994
2584081;EL GUARDIAN S.A.- EMPRESA DE S;ESTEBAN ECHEVERRIA 4270;21/8/2025 20:18;25019;14648072;377;650;9505;25308;;;;True;;-34,51100433;-58,52586994
2584149;GENOMMA LABORATORIES ARGENTINA;AMARO AVALOS 4244;21/8/2025 20:18;25019;14648140;377;650;9505;25308;;;;True;;-34,51165164;-58,52645893
2584152;YOKOGAWA AMERICA DO SUL LTDA;MARIANO MORENO 4115;21/8/2025 20:18;25019;14648143;377;650;9505;25308;;;;True;;-34,51166745;-58,52520033
2584159;CENTRAL DE RESTAURANTES SRL;ESTEBAN ECHEVERRIA 4150;21/8/2025 20:18;25019;14648150;377;650;9505;25308;;;;True;;-34,51182457;-58,52453967
2584163;RDA RENTING SA;ESTEBAN ECHEVERRIA 4150;21/8/2025 20:18;25019;14648154;377;650;9505;25308;;;;True;;-34,51182457;-58,52453967
2584166;ACCENTURE SOCIEDAD DE RESPONSA;ESTEBAN ECHEVERRIA 4150;21/8/2025 20:18;25019;14648157;377;650;9505;25308;;;;True;;-34,51182457;-58,52453967
2584168;IDERO SRL;ESTEBAN ECHEVERRIA 4204;21/8/2025 20:18;25019;14648159;377;650;9505;25308;;;;True;;-34,51140141;-58,52517489
2584169;NEOPHOS S.A.;MARIANO MORENO 4153;21/8/2025 20:18;25019;14648160;377;650;9505;25308;;;;True;;-34,51184018;-58,52557605
2584172;FORSAFE S.A.;MARIANO MORENO 4153;21/8/2025 20:18;25019;14648163;377;650;9505;25308;;;;True;;-34,51184018;-58,52557605
2584173;A I P A A AGENCIA DE INVESTIGA;AMARO AVALOS 4265;21/8/2025 20:18;25019;14648164;377;650;9505;25308;;;;True;;-34,51140485;-58,52652385
2584182;GENERAL PLASTICS SOCIEDAD ANON;MARIANO MORENO 4125;21/8/2025 20:18;25019;14648173;377;650;9505;25308;;;;True;;-34,51171291;-58,5252992
2584185;TUBOS CORRUGADOS SA;MARIANO MORENO 4125;21/8/2025 20:18;25019;14648176;377;650;9505;25308;;;;True;;-34,51171291;-58,5252992
2584188;INMOBILINC  S.A.;PARANA 4330;21/8/2025 20:18;25019;14648179;377;650;9505;25308;;;;True;;-34,51171463;-58,52822968
2584199;GERARDO RAMON Y CIA S A I C;AMARO AVALOS 4217;21/8/2025 20:18;25019;14648190;377;650;9505;25308;;;;True;;-34,51186752;-58,52621559
2584205;MELENDI CARLOS GUSTAVO;PANAMA 4284;21/8/2025 20:18;25019;14648196;377;650;9505;25308;;;;True;;-34,511766;-58,52778875
2584214;ESCO ARGENTINA S.A;MARIANO MORENO 4163;21/8/2025 20:18;25019;14648205;377;650;9505;25308;;;;True;;-34,51188563;-58,52567493
2584218;PROMAIL S.R.L.;PARANA 4368;21/8/2025 20:18;25019;14648209;377;650;9505;25308;;;;True;;-34,51189443;-58,52860869
