id_cargo;descripcion;
5792;Inspector de Electromecánica;
5793;Sub Director de Electromecánica;
5794;Líder de Área (Secretario/ Director de Área/Concejal) de Electromecánica;
5795;Operativo/Territorial Mantelectric;
5796;Líder de Área (Secretario/ Director de Área/Concejal) Gobierno Digital;
5797;Operativo/Territorial Gobierno Digital;
5798;Director General - Analisis delictual;
5799;Líder de Área (Secretario/ Director de Área/Concejal) Seguridad;
5800;Área Administrativa Seguridad;
5801;Operativo/Territorial Seguridad;
5802;Coordinador Observatorio Vial;
5803;Director de Auditoría y Visualización;
5804;Control de Zona;
5805;Administrativo de Datos (tránsito);
5806;Administrativo de Datos;
5807;Asistente de Funcionario - Servicios Públicos;
5808;Asistente de Funcionario-Subsec.Servicios Públicos;
5809;Asistente de Funcionario - Subsec. Tránsito;
5810;Operario de Mantenimiento - Paseo de la Costa;
5811;Director General Espacios Verdes y Plazas;
5812;Director de Higiene Urbana;
5813;Supervisor de Auditoría y Visualización;
5814;Director Op de Señal. Vial, Semáforos y Alumb Públ;
5815;sub director Semáforos;
5816;Supervisor de Semáforos;
5817;Subdirector Servicios Públicos;
5818;Administrativo Servicios Públicos;
5819;Directora General de Proyectos especiales;
5820;Directora de Proyectos especiales;
5821;Jefa de barrido Higiene Urbana;
5822;Administrativa en Higiene Urbana;
5823;Administrativo en CRM de Higiene Urbana;
5824;Supervisor de Inspectores Higiene Urbana;
5825;Inspector Higiene Urbana;
5826;Inspector de Higiene Urbana A;
5827;Sub director Arbolado Urbano;
5828;Analista - Arbolado Urbano;
5829;Inspector Arbolado Urbano;
5830;Supervisor de Señalamiento Vial y Semáforos;
5831;Director de Zoonosis;
5832;Jefe de chofer zoonosis;
5833;Supervisor de veredas;
5834;Operador de Call Center;
5835;Supervisor de Call Center;
5836;Director Call Center;
5873;Supervisor Atención al Público - Mesa de Entrada;
5874;Coordinador Mesa Gral. Entradas y Salidas;
5875;Dirección General de Gobierno, Adm. y Legislación;
5876;Analista de Implementación de Prog. Informáticos;
5893;Dir de Zoonosis - Operativo;
5894;Administrativa de Mantenimiento vial y Servicios;
5895;Jefe de conducción en Mantenimiento vial y Servicios;
5896;Supervisor de barrido Higiene Urbana;
5995;Director de Desarrollo Sostenible;
5996;Coordinador Municipio Sustentable;
5997;Analista de Reciclaje;
5998;Operativo Desarrollo Sostenible;
5999;Coordinador de proyecto;
6056;Secretario de Planeamiento Obras;
6057;Subsecretario Planeamiento Obras Públicas;
6058;Secretaria de Salud;
6059;Secretario de Seguridad;
6060;Subsecretario de seguridad;
6061;Subsecretario de Defensa Civil;
6062;Secretario de Servicios Públicos;
6063;Subsecretario de Servicios Públicos;
6064;Subsecretario de tránsito;
6065;Secretario de Transformación Digital;
6066;Subsecretaria de Gobierno Digital;
6067;Subsecretaria de Innovación;
6068;Secretario de Comunicación;
6069;Subsecretario de Producción;
6070;Secretaria de Cultura;
6071;Subsecretario de Cultura;
6072;Secretaria de Educación y Empleo;
6073;Secretario de Deportes;
6074;Subsecretario de Fortalecimiento Comunitario;
6075;Subsecretario de Gobierno;
6076;Secretario General;
6077;Subsecretario de Desarrollo Económico;
6078;Secretario de Gobierno Legal Técnica;
6079;Subsecretario de Legal y Técnica;
6080;Subsecretario de Participación Ciudadana;
6081;Subsecretario de Recursos Humanos;
6082;Subsecretario de Fiscalización;
6083;Secretario de Hacienda y Finanzas;
6084;Subsecretario de Hacienda;
6085;Subsecretaria de Ingresos Públicos;
6086;Subsecretaria de Plan y Cont. De Gestión;
6087;Subsecretaria de Atención Ciudadana Calid. Cercania;
6088;Jefe de Gabinete;
6090;Intendenta;
6147;Administrativo de Despacho - Seg. e Higiene;
6148;Supervisor Inspectores Industria;
6149;Inspector Seguridad e Higiene Industrial;
6150;Director Bromatología;
6151;Coordinador Bromatología;
6152;Inspector Bromatología;
6153;Supervisor Administ Política y Control Ambiental;
6154;Director de Política y Control AmbientalDirector de Política y Control Ambiental;
6155;Inspector Control Ambiental;
6156;Supervisor Administrativo;
6157;Inspector Fiscalización Turno Noche;
6158;Inspector Fiscalización;
6159;Supervisor Inspectores Fiscalización;
6160;Inspector Fiscalización SDF;
6161;Inspector Publicidad y Propaganda;
6162;Inspector Antenas;
6163;Inspector de Calle;
6164;Inspector Espacio Público;
6165;Coordinador Publicidad y Propaganda;
6166;Director de Comercio;
6167;Inspector Comercio;
6168;Soporte Técnico Fiscalización y Control;
6169;Analista de Proyectos - Fiscalización;
6170;Asesor Gobierno;
6256;Fumigador;
6257;Responsable técnico;
6258;Subdirector;
6259;Analista Control Ambiental;
6260;Administrativo - Cajero;
6261;Supervisor Despacho Comercio;
6262;Administrativo Mesa de Entradas-Fiscal. y Control;
6837;Secretario/a de Obras;
6838;Inspector;
6839;Administrativo;
