subarea;tipo_codigo;codigo;nombre
POLICIA_MUNICIPAL;AGRADECIMIENTO;OPERADOR;Operador
POLICIA_MUNICIPAL;AGRADECIMIENTO;MOVIL;Móvil
POLICIA_MUNICIPAL;AGRADECIMIENTO;SIE_911;SIE 911
POLICIA_MUNICIPAL;ALARMAS;PULSADOR;Pulsador
POLICIA_MUNICIPAL;ALARMAS;OTROS_SENSORES;Otros sensores
POLICIA_MUNICIPAL;ALARMAS;SENSOR_NO_VERIFICADO;Sensor no verificado
POLICIA_MUNICIPAL;ALARMAS;SENSOR_VERIFICADO;Sensor verificado
POLICIA_MUNICIPAL;ALARMAS;SPB;SPB
POLICIA_MUNICIPAL;BROMA;BROMA;Broma
POLICIA_MUNICIPAL;CARTA_ORIGINAL;CON_PRIORIDAD;Con prioridad
POLICIA_MUNICIPAL;CARTA_ORIGINAL;SIN_PRIORIDAD;Sin prioridad
POLICIA_MUNICIPAL;CASOS_CRITICOS;CASOS_CRITICOS;Casos críticos
POLICIA_MUNICIPAL;CONTRAVENTORES;DESORDEN_VIA_PUBLICA;Desorden en vía pública
POLICIA_MUNICIPAL;CONTRAVENTORES;VENTA_ALCOHOL;Venta de alcohol
POLICIA_MUNICIPAL;DELITO_INFORMATICO;ACOSO_MENOR;Acoso a menor
POLICIA_MUNICIPAL;DELITO_INFORMATICO;PORNOGRAFIA_INFANTIL;Pornografía infantil
POLICIA_MUNICIPAL;DELITO_INFORMATICO;OTROS_DELITOS;Otros delitos
POLICIA_MUNICIPAL;DESAPARICION_PERSONA;DESAPARICION;Desaparición
POLICIA_MUNICIPAL;DESAPARICION_PERSONA;LOCALIZACION;Localización
POLICIA_MUNICIPAL;DESAPARICION_PERSONA;PUBLICO_CONOCIMIENTO;Público conocimiento
POLICIA_MUNICIPAL;DISPAROS;DISPAROS;Disparos
POLICIA_MUNICIPAL;DISPAROS;PERSONAS;Personas
POLICIA_MUNICIPAL;DISPAROS;PROCEDIMIENTO_POLICIAL;Procedimiento policial
POLICIA_MUNICIPAL;DROGAS_ILICITAS;CONSUMO;Consumo
POLICIA_MUNICIPAL;DROGAS_ILICITAS;TRANSPORTE;Transporte
POLICIA_MUNICIPAL;DROGAS_ILICITAS;VENTA_ELABORACION;Venta / elaboración
POLICIA_MUNICIPAL;EMERGENCIA_SALUD;EMERGENCIA;Emergencia
POLICIA_MUNICIPAL;EMERGENCIA_SALUD;PRESUNCION_FALLECIMIENTO;Presunción de fallecimiento
POLICIA_MUNICIPAL;EMERGENCIA_SALUD;CORONAVIRUS;Coronavirus
POLICIA_MUNICIPAL;ESTAFA;ESTAFA;Estafa
POLICIA_MUNICIPAL;EVASION_DETENIDOS;ARRESTO_DOMICILIARIO;Arresto domiciliario
POLICIA_MUNICIPAL;EVASION_DETENIDOS;DEPENDENCIAS_PUBLICAS;Dependencias públicas
POLICIA_MUNICIPAL;EVASION_DETENIDOS;MOVIL_TRASLADO;Móvil de traslado
POLICIA_MUNICIPAL;EXPLOSIVOS;CATE_911;CATE 911
POLICIA_MUNICIPAL;EXPLOSIVOS;AMENAZA_BOMBA;Amenaza de bomba
POLICIA_MUNICIPAL;EXPLOSIVOS;ESTABLECIMIENTO_EDUCATIVO;Establecimiento educativo
POLICIA_MUNICIPAL;EXPLOSIVOS;ACOPIO_FABRICACION;Acopio / fabricación
POLICIA_MUNICIPAL;EXTORSION;INTIMIDACION;Intimidación
POLICIA_MUNICIPAL;EXTORSION;SECUESTRO_VIRTUAL;Secuestro virtual
POLICIA_MUNICIPAL;EXTORSION;SOBRE_PERSONA;Sobre persona
POLICIA_MUNICIPAL;HALLAZGO;NN_HOSPITAL;NN hospital
POLICIA_MUNICIPAL;HALLAZGO;OBJETO_DUDOSO_PELIGROSO;Objeto dudoso / peligroso
POLICIA_MUNICIPAL;HALLAZGO;PERSONA_INDIGENTE;Persona indigente
POLICIA_MUNICIPAL;HALLAZGO;PERSONA_PERDIDA;Persona perdida
POLICIA_MUNICIPAL;HALLAZGO;RESTOS_HUMANOS;Restos humanos
