subarea;codigo_oficial;codigo;nombre;prioridad;organismo_default;requiere_911;es_emergencia
POLICIA_MUNICIPAL;1;AGRADECIMIENTO;Agradecimiento;P3;;false;false
POLICIA_MUNICIPAL;2;ALARMAS;Alarmas;P2;PATRULLA_URB_MUN;false;true
POLICIA_MUNICIPAL;3;BROMA;Broma;P3;;false;false
POLICIA_MUNICIPAL;4;CARTA_ORIGINAL;Carta original (eventos múltiples);P2;POLICIA_911_PBA;false;true
POLICIA_MUNICIPAL;5;CASOS_CRITICOS;Casos críticos;P1;POLICIA_911_PBA;true;true
POLICIA_MUNICIPAL;6;CONTRAVENTORES;Contraventores;P3;PATRULLA_URB_MUN;false;true
POLICIA_MUNICIPAL;7;DELITO_INFORMATICO;Delito informático;P3;FISCALIA;false;false
POLICIA_MUNICIPAL;8;DESAPARICION_PERSONA;Desaparición de persona;P1;POLICIA_911_PBA;false;true
POLICIA_MUNICIPAL;9;DISPAROS;Disparos;P1;POLICIA_911_PBA;true;true
POLICIA_MUNICIPAL;10;DROGAS_ILICITAS;Drogas ilícitas;P2;POLICIA_911_PBA;false;true
POLICIA_MUNICIPAL;12;EMERGENCIA_SALUD;Emergencia de salud;P1;SAME_107;false;true
POLICIA_MUNICIPAL;14;ESTAFA;Estafa;P3;FISCALIA;false;false
POLICIA_MUNICIPAL;15;EVASION_DETENIDOS;Evasión de detenidos;P1;POLICIA_911_PBA;true;true
POLICIA_MUNICIPAL;16;EXPLOSIVOS;Explosivos;P1;POLICIA_911_PBA;true;true
POLICIA_MUNICIPAL;17;EXTORSION;Extorsión;P2;POLICIA_911_PBA;false;true
POLICIA_MUNICIPAL;18;HALLAZGO;Hallazgo;P3;PATRULLA_URB_MUN;false;true
POLICIA_MUNICIPAL;20;INFORMACION;Información;P3;;false;false
POLICIA_MUNICIPAL;21;INTEGRIDAD_VIDA;Integridad a la vida;P1;POLICIA_911_PBA;true;true
POLICIA_MUNICIPAL;22;INTEGRIDAD_SEXUAL;Integridad sexual;P1;POLICIA_911_PBA;true;true
POLICIA_MUNICIPAL;23;INTRUSION;Intrusión;P2;POLICIA_911_PBA;false;true
POLICIA_MUNICIPAL;24;MAL_FUNCIONAMIENTO;Mal funcionamiento de fuerzas;P3;FISCALIA;false;false
POLICIA_MUNICIPAL;25;MALTRATO_ANIMAL;Maltrato animal;P3;ZOONOSIS_MUN;false;true
POLICIA_MUNICIPAL;26;NO_CONSTITUYE_EMERGENCIA;No constituye emergencia;P3;;false;false
POLICIA_MUNICIPAL;27;OCCISO;Occiso (fallecimiento constatado);P1;SAME_107;false;true
POLICIA_MUNICIPAL;28;PEDIDO_GENERICO_AUXILIO;Pedido genérico de auxilio;P2;PATRULLA_URB_MUN;false;true
POLICIA_MUNICIPAL;29;PIRATAS_ASFALTO;Piratas del asfalto;P1;POLICIA_911_PBA;true;true
POLICIA_MUNICIPAL;30;PRIVACION_ILEGITIMA_LIBERTAD;Privación ilegítima de la libertad;P1;POLICIA_911_PBA;true;true
POLICIA_MUNICIPAL;31;PROFUGO;Prófugo;P2;POLICIA_911_PBA;false;true
POLICIA_MUNICIPAL;32;QUEJA;Queja;P3;;false;false
POLICIA_MUNICIPAL;33;ROBO;Robo;P1;POLICIA_911_PBA;true;true
POLICIA_MUNICIPAL;34;ROBO_AUTOMOTOR;Robo automotor;P1;POLICIA_911_PBA;true;true
POLICIA_MUNICIPAL;35;SOSPECHOSO;Sospechoso;P2;PATRULLA_URB_MUN;false;true
POLICIA_MUNICIPAL;36;TERRORISMO;Terrorismo;P1;POLICIA_911_PBA;true;true
POLICIA_MUNICIPAL;37;TOMA_REHEN;Toma de rehén;P1;POLICIA_911_PBA;true;true
DEFENSA_CIVIL;;INCENDIO;Incendio;P1;BOMBEROS;false;true
DEFENSA_CIVIL;;INUNDACION;Inundación;P1;DEFENSA_CIVIL_MUN;false;true
DEFENSA_CIVIL;;ANEGAMIENTO_PLUVIAL;Anegamiento pluvial;P2;SERV_PUB_MUN;false;true
DEFENSA_CIVIL;;CAIDA_ARBOL;Caída de árbol;P2;SERV_PUB_MUN;false;true
DEFENSA_CIVIL;;CAIDA_TENDIDO;Caída de tendido (cables / postes);P2;SERV_PUB_MUN;false;true
DEFENSA_CIVIL;;FUGA_GAS;Fuga de gas;P1;BOMBEROS;false;true
DEFENSA_CIVIL;;DERRAME_QUIMICO;Derrame químico / sustancia peligrosa;P1;DEFENSA_CIVIL_PROV;false;true
DEFENSA_CIVIL;;NUBE_TOXICA;Nube tóxica / olores tóxicos;P1;DEFENSA_CIVIL_PROV;false;true
DEFENSA_CIVIL;;DERRUMBE;Derrumbe;P1;BOMBEROS;false;true
DEFENSA_CIVIL;;RESCATE;Rescate de persona o animal;P1;BOMBEROS;false;true
DEFENSA_CIVIL;;ANIMAL_PELIGROSO;Animal peligroso suelto;P2;ZOONOSIS_MUN;false;true
DEFENSA_CIVIL;;ACCIDENTE_VIA_PUBLICA;Accidente en vía pública;P2;TRANSITO_MUN;false;true
DEFENSA_CIVIL;;TORMENTA_SEVERA;Tormenta severa / fenómeno meteorológico;P2;DEFENSA_CIVIL_MUN;false;true
DEFENSA_CIVIL;;EMERGENCIA_CLIMATICA;Emergencia climática (ola de calor/frío);P2;DEFENSA_CIVIL_MUN;false;true
DEFENSA_CIVIL;;EVACUACION_PREVENTIVA;Evacuación preventiva;P1;DEFENSA_CIVIL_MUN;false;true
DEFENSA_CIVIL;;SIMULACRO;Simulacro;P3;DEFENSA_CIVIL_MUN;false;false
