id_identificador_tipo;descripcion;id_icono;requiere_ciudadano
2;Tablero;;False
3;Centro de Salud;;False
4;Losas;;False
5;Espacio Verde;;False
6;Micro basural;;False
8;Destino Macro basura;;False
10;Generador de Desechos;;False
12;Generador;;False
13;Arboles;;False
15;Medidor;;False
16;Geriátricos;;False
17;Jardines;;False
18;Escuela;;False
19;Recolección de Residuos;;False
20;Lote de Arboles;;False
22;Camiones;;False
24;Parquímetro;;False
26;Parcela;;False
28;Marcos quilômetros;;False
29;Ruta Segura;;False
31;Autos;;False
33;Maquinaria liviana;;False
34;Balizas;;False
36;Depósitos de agua;;False
38;Farmacia;;False
39;Comercio;;False
40;Industria;;False
41;Rede de Esgoto;;False
42;Rede Mista;;False
43;Rede de Agua;;False
44;Registro de Agua;;False
47;Medidor de Agua;;False
48;Punto Verde;;False
51;Playon deportivo;;False
52;Salon deportivo;;False
57;Terreno baldío;;False
60;Contenedor de Pila;;False
61;Contenedor de Ropa;;False
62;Contenedor de Aceite;;False
64;Oficinas;;False
65;Depósitos;;False
66;Terminal;;False
67;Centros Veterinarios;;False
68;Comercios Pet Friendly;;False
69;Colonias Felinas;;False
70;Cementerio;;False
71;Sala de Calderas;;False
72;Establecimiento SICPA;;False
73;Tablero en Plaza;;False
74;Columna en Plaza;;False
75;Contenedor Orgánico;;False
76;Plaza;;False
77;Tablero faltante;;False
78;Columna faltante;;False
83;Farola;;False
84;Panadería;;False
86;Carnicería;;False
87;Establecimiento;;False
89;Señal;;False
91;Mobiliario Público;;False
92;Alcantarilla;;False
93;Edificio Público;;False
94;Faroles;;False
95;Bancas;;False
96;Papeleras;;False
97;Tachicanes;;False
98;Cicloparqueaderos;;False
99;Mascota;;False
101;Bajada a playa;;False
102;Centro de Atención Primaria (CAP);;False
103;Sociedad de Fomento;;False
104;Centro Educativo;;False
105;Centro Cultural;;False
106;Centro Deportivo;;False
107;Centro Administrativo-institucional;;False
108;Centro Servizos Públicos;;False
109;Centro Dotacional Múltiple;;False
110;Centro Relixioso;;False
111;Centro Recreativo Ou De Relación Social;;False
116;Punto de Arrojo;;False
117;Basural;;False
118;Lomada;;False
119;Poste Nuevo;;False
125;Hardware;;False
126;Cartelería;;False
130;Colectividad;;False
131;Culto;;False
132;Cooperación Internacional;;False
133;ONG;;False
135;Enquinchado;;False
136;Cámara de Seguridad;;False
137;Calle;;False
138;Sendero;;False
139;Hospital;;False
140;Posta Sanitaria;;False
141;Alarmas Comunitarias;;False
142;Consejos Barriales;;False
143;Polideportivos Sociales;;False
144;Empleado Municipal;;False
145;TDT;;False
146;Telecentro;;False
148;Sala Cuna;;False
149;Jardín Maternal;;False
153;Bienes Muebles;;False
154;Feriantes;;False
155;Telefonía;;False
156;Red de Cloaca;;False
158;Red de Agua;;False
160;Centro de Inclusión Social (CIS);;False
161;Alojamiento;;False
165;Playa;;False
167;IPJ;;False
168;Canasto;;False
171;Comando;;False
172;Comisaría;;False
173;Domo de seguridad;;False
174;PC;;False
175;Fibra Óptica;;False
176;Equipo Médico;;False
199;Vados;;False
200;Estacionamiento;;False
201;Obras;;False
202;Terrazas;;False
203;Taxi;;False
204;Animales peligrosos;;False
205;Venta ambulante;;False
206;Entidades Ciudadanas;;False
207;Cementerios;;False
208;Servicios Sociales;;False
209;Contratos;;False
210;Sintomas Dengue;;False
211;Pantallas;;False
212;Impresoras / Escáneres;;False
214;Luminaria;;False
215;Instituciones;;False
217;Perro Potencialmente peligroso;;False
218;Recolección AVUs;;False
219;Sensor;;False
220;Centros Comunitarios;;False
247;Contactos idiBell;;False
265;Inmuebles de Importancia Histórica;;False
270;Comercio Reempadronado;;False
275;Hotel (Señalización);;False
276;Castraciones;;False
279;Licencia de conducir;;False
282;Inmueble;;False
288;Contratista;;False
289;Caso Dengue;;False
290;Permiso Obra;;False
291;Cazoleta (contención árboles);;False
292;Curriculum Vitae;;False
293;Proveedores PJ;;False
294;Obra Simple;;False
296;Planos Obras Privadas;;False
297;Proveedores del Estado;;False
299;No generador Res Patógenos;;False
300;Habilitación Comercial;;False
301;Proveedores PH;;False
302;Habilitación;;False
306;Uso de Suelo;;False
307;Presentación Planos de Obras;;False
308;Vivienda;;False
309;Bache;;False
310;Loteo;;False
311;Planos Agrimensura;;False
312;Previa Agrimensura;;False
313;Tramites Varios;;False
315;Espacio Urbano;;False
317;Inscripcion Deportistas;;False
321;Ecomuseo;;False
325;Gabinete Estanco;;False
338;Calle de Tierra;;False
341;Reempadronamiento de comercio;;False
343;Solicitud de libre deuda;;False
344;Carnet Sanitario Comun;;False
346;IPVU - Solicitud Vivienda;;False
347;Señal de tránsito;;False
348;Reductor de velocidad;;False
349;Alta de luz;;False
350;Reserva de Denominación;;False
351;CONEXIÓN DOMICILIARIA;;False
352;Reserva Natural;;False
353;Factibilidad de loteo;;False
354;Garantias Loteo;;False
356;Licencia de conducir rt;;False
357;Inmueble Alquilado;;False
359;Inscripcion de Nacimientos;;False
360;Solicitud DNI;;False
361;Solicitud Pasaporte;;False
362;Tramite Reconocimientos;;False
363;Registro de Proveedores;;False
364;H. C. - Casos sin local;;False
366;Obras Particulares;;False
367;Permiso de obra nuevo;;False
368;SEHAC - Deb. Aut tasas mun.;;False
369;Puentes y Pasarelas;;False
370;Educacion Vial;;False
371;Documentación;;False
372;Visado;;False
376;Avenidas;;False
377;Centro Vecinal;;False
378;Becas escolares;;False
380;Generadores G. A.;;False
391;Defensa al consumidor;;False
397;Inscripción Ciclo Turismo;;False
399;Domicilio elect. consum. pvr;;False
400;Subsidio Luz y Gas pvr;;False
403;Programa tarifa eléctrica;;False
404;Jubilación Ordinaria Común;;False
405;Autos en Vía Pública;;False
408;Pago de transport. áridos prod;;False
409;Pago de Extractores De Arido;;False
412;Habilitación comercial riv;;False
413;Cambio de titularidad;;False
414;Insc. Residencias Est. 2025;;False
418;Cuota Mensual IVUJ;;False
419;Expedientes de Obras;;False
423;Ovitrampa;;False
424;Poda, extracción y plantación;;False
425;Solicitud de Certificados;;False
426;Huerta Municipal;;False
427;Comercio adherido;;False
428;Turismo y Patrimonio;;False
429;Licencia de funcionamiento;;False
436;Inscripto Deportes;;False
437;FICHA OMAPED;;False
439;Aires acondicionados;;False
441;Renovación de Licencia de Cond;;False
444;Comprobantes - PJ - CC;;False
446;Comprobantes - PH - SC;;False
447;Comprobantes - PJ - SC;;False
448;Comprobantes - Empleado;;False
449;Equipamiento Salud;;False
450;Participación en Subasta;;False
460;Redeterminación de Precios -PJ;;False
461;Participación en Subasta - PH;;False
462;Dotación;;False
463;Ojos en Alerta;;False
464;Numeracion Domiciliaria;;False
466;Permiso de ocupacion;;False
469;Certificado Adultos Mayores;;False
470;Camino rural;;False
471;Estacionamiento medido;;False
472;Postulaciones de empleo;;False
477;Suberoteca;;False
484;Punto Educar;;False
485;PE - Guardavidas;;False
486;contador domiciliario;;False
487;Libre deuda tributario PF - PJ;;False
488;Lib. Deuda Infracción Tránsito;;False
489;Lib. Deuda Proveedores con HC;;False
495;Telefono o Internet;;False
500;Permiso de uso de vía pública;;False
501;Organizaciones Sociales;;False
504;Garita de colectivo;;False
505;Expediente Permiso de Obra;;False
507;Prueba jueves;;False
508;Matrimonio en oficina movil;;False
509;Inscripción sentencia judicial;;False
510;Pedido de Informes;;False
511;Poder Judicial - Partidas;;False
515;Area;;False
518;Artistas;;False
519;Linea Municipal;;False
520;Certificado medico Adultos;;False
523;Reclamos;;False
524;Apertura de agencias P.H;;False
526;Apto Bromatológico;;False
527;Constitución de sociedades;;False
531;Fauna;;False
532;Contenedor;;False
533;Ruleros y Puntos Verdes;;False
556;Proyectos culturales 2025;;False
568;Trámites y Requisitos;;False
572;Nomenclador;;False
573;Acta de Infracción;;False
582;Ficha de Aceptación al Basural;;False
583;Carnet Sanitario Especial;;False
586;Renovaciones;;False
587;Prueba interna caracteres;;False
588;Dependencia Policial;;False
589;Asociaciones;;False
590;Instituciones Sindicales;;False
593;Food Trucks;;False
595;Escuelas;;False
597;Solicitud de Asistencia;;False
604;Apertura de agencias Personas;;False
605;Apertura de agencias P. J;;False
606;Educación no formal;;False
607;Contribuyente;;False
608;Oficina de Patentamiento;;False
615;Escuela de tango;;False
616;Solicitud de Licencias;;False
617;Edificios Municipales;;False
619;Inscripción Escuela Municipal de Musica;;False
621;Escuela de Arte;;False
622;Oficio;;False
624;Punto Seguro;;False
626;Libre deuda;;False
627;Codificación parcelaria;;False
628;Plancheta;;False
630;Copia de mensura;;False
631;Certificado de no titularidad;;False
632;Reporte parcelario;;False
634;Solicitudes de Permisos de Bien Nacional de Uso Público;;False
635;DEPARTAMENTO DEPORTES Y RECREACIÓN;;False
636;Escuelas Deportivas;;False
638;Habilitación comercial perito;;False
642;Centro de acopio;;False
645;Libre deuda de tránsito;;False
646;Devolución de licencia;;False
649;Solicitud de Cambio de Titularidad de Inmueble;;False
650;Comercios;;False
651;Libre deuda instructor;;False
652;Libre deuda matriculas;;False
654;Libre deuda renovaciones, bajas y cierres;;False
655;Libre deuda transportes y vehiculos;;False
656;Libre deuda vehiculos para academia o rent a car;;False
657;Libre deuda de obras y conexiones;;False
658;Libre deuda suministros;;False
659;Libre deuda por contrato de trabajo en via publica;;False
660;Plazas de garaje;;False
661;Mercadillos ambulantes;;False
666;Certificado para actividad comercial;;False
669;Arroyo;;False
671;Bandera;;False
674;Garitas;;False
675;Estación de compostaje;;False
676;Inscripción de Asociaciones;;False
677;Inscripción de Fundaciones;;False
681;Solicitud de antecedentes catastrales;;False
682;Animal de compañía;;False
683;Miembro Club Universitario;;False
684;Cocina;;False
687;Anexo de rubros;;False
689;Pisos;;False
690;Habitaciones;;False
691;Oficina de Coordinacion;;False
692;Comedores CIS;;False
693;Sum;;False
694;Patios;;False
695;Depositos;;False
696;Baños comunitarios;;False
697;HALL;;False
698;Baños apto discapacidad;;False
700;Baños oficina de Coordinacion;;False
703;Inscripción de Proveedores;;False
705;Cambio de Domicilio Postal;;False
715;Inscripción de profesionales;;False
716;Renovación puesto de venta ambulante;;False
717;Baños Habitaciones;;False
718;Baños Ludoteca;;False
719;Ludoteca;;False
721;Sala de profesionales;;False
722;Baños Sala de profesionales;;False
723;Oficina De Vigilancia;;False
725;Oficina De Mantenimiento;;False
726;Baños sum;;False
727;Pasillos;;False
728;Sala de máquinas;;False
729;Cuarto de limpieza;;False
730;Renovacion proveedores;;False
731;Presentación de planos para Permiso de Obra;;False
734;Comercio Club Universitario;;False
735;Número domiciliario;;False
737;Poste Inactivo;;False
739;CIS Piso;;False
